latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.33061298,-71.11184625,Apartment,12,2,4,7,349.00
42.33368174,-71.10151732,Apartment,3,1,1,3,75.00
42.33110059,-71.10202038,House,1,2.5,1,4,35.00
42.33295758,-71.10010053,Apartment,5,1,5,4,100.00
42.33269248,-71.1015238,Apartment,4,1,2,2,199.00
42.33232515,-71.10058162,Apartment,2,1,1,1,75.00
42.33309367,-71.10820556,Apartment,4,1,2,2,160.00
42.33336457,-71.0999922,Apartment,3,1,1,1,349.00
42.32739596,-71.10508282,Apartment,2,1,1,1,65.00
42.33363629,-71.11102997,Apartment,1,1,1,1,41.00
42.3288889,-71.09959329,Apartment,2,1,1,2,80.00
42.33000152,-71.11219829,Apartment,2,1,1,1,49.00
42.33239082,-71.09582798,Apartment,1,2.5,1,1,35.00
42.32826548,-71.10310999,Townhouse,2,1,1,1,72.00
42.33192694,-71.11127381,Apartment,2,1,1,1,90.00
42.33074322,-71.10302205,Apartment,2,1,1,1,100.00
42.33218318,-71.0998942,Condominium,2,1,1,1,90.00
42.33186188,-71.11217702,Apartment,2,1,2,3,89.00
42.3318665,-71.10984333,Apartment,1,2,1,1,65.00
42.33163113,-71.09588698,Apartment,2,1,1,1,170.00
